"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0.2,"high","none",0.4,0.563563563563564,0.052,0.412,0.169,0.666,0.162,0.568,0.362,NA,NA,NA,NA,0.766,0.364,0.598,0.483,0.743,0.357,0.572,0.469,0.741,0.37,0.576,0.485,0.853892215568862,0.476476476476476,0.773885350318471,0.652917505030181,0.898,0.737,0.889,0.836,0.933,0.807,0.945,0.903,0.906,0.815,0.88,0.852
0.5,"high","none",0.4,0.793380140421264,0.037,0.534,0.188,0.694082246740221,0.114,0.72,0.382,NA,NA,NA,NA,0.758,0.349,0.589,0.444,0.712,0.334,0.565,0.428,0.71,0.346,0.564,0.424,0.905561385099685,0.776,0.852,0.818,0.889,0.721,0.857,0.797,0.898492462311558,0.564,0.885885885885886,0.741,0.913,0.907,0.9,0.934
0.8,"high","none",0.4,0.788788788788789,0.157,0.827,0.482,0.503503503503503,0.353,0.637,0.661,NA,NA,NA,NA,0.698,0.399,0.62,0.492,0.695,0.378,0.571,0.459,0.685,0.399,0.609,0.492,0.874749498997996,0.884,0.882,0.876,0.892,0.796,0.893,0.844,0.856710393541877,0.219,0.736788617886179,0.45135406218656,0.871,0.674,0.873,0.771
0,"none","med",0,0.791710945802338,0.160869565217391,0.564234326824255,0.315240083507307,0.877281947261663,0.951351351351351,0.94655704008222,0.932008368200837,NA,NA,NA,NA,0.897,0.391,0.765,0.576,0.951,0.94,0.941,0.953,0.931,0.911,0.922,0.935,0.929440389294404,0.926680244399185,0.951680672268908,0.944866920152091,0.506,0,0.07,0.002,0.663286004056795,0.167579408543264,0.440641711229946,0.301639344262295,0.61,0.006,0.146,0.016
0.2,"none","med",0,0.911917098445596,0.848821081830791,0.896816684961581,0.894047619047619,0.814507772020725,0.937669376693767,0.860745614035088,0.925619834710744,NA,NA,NA,NA,0.934,0.709,0.879,0.831,0.926,0.595,0.858,0.761,0.888,0.709,0.825,0.819,0.964071856287425,0.953953953953954,0.963235294117647,0.949596774193548,0.591,0,0.131,0.01,0.792607802874743,0.143646408839779,0.555675675675676,0.340022296544036,0.807,0.842,0.83,0.884
0.5,"none","med",0,0.912778904665314,0.957810718358039,0.939834024896266,0.956236323851203,0.783975659229209,0.910227272727273,0.846473029045643,0.884153005464481,NA,NA,NA,NA,0.929,0.838,0.885,0.873,0.847,0.245,0.651,0.454,0.883,0.838,0.885,0.873,0.955778894472362,0.947,0.955,0.951,0.859,0.211,0.652,0.409,0.93654042988741,0.874463519313305,0.913885898815931,0.88961038961039,0.937,0.901,0.907,0.91
0.8,"none","med",0,0.91238670694864,0.956756756756757,0.941478439425051,0.954879328436516,0.840886203423968,0.918918918918919,0.901437371663244,0.914915966386555,NA,NA,NA,NA,0.909,0.658,0.847,0.788,0.886,0.437,0.757,0.622,0.904,0.658,0.847,0.788,0.943,0.932,0.949,0.952,0.948,0.767,0.898,0.853,0.942014242115972,0.905579399141631,0.930062630480167,0.934619506966774,0.932,0.924,0.931,0.93
0,"none","med",0.2,0.719836400817996,0.381,0.671013039117352,0.535,0.69857433808554,0.722,0.839357429718876,0.8,NA,NA,NA,NA,0.621,0.227,0.447,0.339,0.797,0.593,0.654,0.612,0.738,0.524,0.591,0.545,0.741656365883807,0.108324974924774,0.536919831223629,0.273556231003039,0.382,0,0.058,0,0.510183299389002,0.051,0.34944612286002,0.184,0.512,0.359,0.37,0.318
0.2,"none","med",0.2,0.732052578361982,0.396,0.64616935483871,0.522088353413655,0.62246963562753,0.893,0.73991935483871,0.839518555667001,NA,NA,NA,NA,0.737,0.147,0.434,0.243,0.872,0.719,0.803,0.734,0.72,0.118,0.395,0.207,0.768025078369906,0.08,0.494969818913481,0.241,0.244,0,0.013,0,0.45131845841785,0.00404448938321537,0.183630640083945,0.0377551020408163,0.689,0.421,0.662,0.538
0.5,"none","med",0.2,0.810050251256281,0.907815631262525,0.893145161290323,0.88877755511022,0.589357429718876,0.788577154308617,0.634072580645161,0.711422845691383,NA,NA,NA,NA,0.803,0.725,0.746,0.735,0.779,0.491,0.65,0.595,0.746,0.725,0.733,0.735,0.880522088353414,0.482,0.793,0.633,0.671,0.008,0.287,0.046,0.78622816032888,0.654644808743169,0.737250554323725,0.673289183222958,0.879,0.692,0.794,0.722
