"","condition","k","k.label","delta","delta.label","qrpEnv","qrp.label","selProp","selProp.label","tau","tau.label","method","meanEst","ME","RMSE","MAD","perc2.5","perc97.5","coverage","consisZero"
"98",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.520718649515471,0.0207186495154713,0.0684311879267376,0.0542959246566006,0.397372441262505,0.655154064354619,0.902,0
"99",201,10,"k = 10",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.499961601237671,-3.83987623285814e-05,0.0839917646953157,0.0666205088747099,0.322646117244126,0.651394463298658,0.92,0.028
"100",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.523047964811883,0.0230479648118833,0.0439211341887601,0.0349176216225542,0.451257702131576,0.599595468030983,0.903,0
"101",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.518994878549086,0.0189948785490862,0.0480702585839358,0.038586802460159,0.426842851671858,0.601848814444912,0.873,0
"102",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.146276952975073,-0.353723047024927,0.60913662455553,0.486277700197201,-0.844740908932264,1.11250073599331,0.825,0.881
"103",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.314064479845738,-0.185935520154262,0.319297853312926,0.256105665048899,-0.219063663286063,0.845257765322961,0.828,0.662
"104",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.136334065662897,-0.363665934337103,0.571015081074202,0.454777884443275,-0.739934617439817,0.905368984367975,0.827,0.895
"105",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"106",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"107",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.52696721318604,0.0269672131860401,0.0593528408362251,0.0402533471045108,0.451066724354088,0.612771488200829,NA,NA
"108",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.526425710352199,0.0264257103521991,0.0491676809565108,0.0392020219111637,0.447606248021603,0.611783757310631,0.787,0
"109",202,30,"k = 30",0.5,"delta = 0.5","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.523047964811883,0.0230479648118833,0.0439211341887601,0.0349176216225542,0.451257702131576,0.599595468030983,0.903,0
